,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,fast_trough_v_short_square,peak_v_short_square,height,ExIn,line_name
436,1.777531019,0.025838693,60.00000381,12.0893384,33.045,30.26176426,230.1563286,2.60773,-73.41370111,-58.7604198456,36.7239602407,95.4843800863,I,Htr3a-Cre_NO152
437,1.764155203,0.009077191,70.0,23.80542069,47.47342105,21.06441832,236.2499978,2.403305,-67.15597714,-64.4375015259,38.7187507629,103.156252289,I,Sst-IRES-Cre
439,1.756739231,-0.000360098,90.0,12.59718402,47.465,21.06815548,248.4373093,3.6743,-70.39907752,-62.9437522888,35.8,98.7437522888,I,Htr3a-Cre_NO152
440,1.751767367,0.015610126,50.0,26.91058814,58.4721875,17.10214792,240.7812905,1.596605,-64.78388774,-62.3187538147,47.6625015259,109.981255341,I,Sst-IRES-Cre
441,1.74920958,0.014081788,50.0,25.39993507,51.68472222,19.34807728,264.6875025,1.983108333,-65.86307365,-64.8125019073,38.164065361,102.976567268,I,Sst-IRES-Cre
442,1.741363358,0.013284267,50.0,31.87766072,44.05738095,22.69767241,353.571399,1.626653333,-67.01875978,-61.6562538147,31.4921889305,93.1484427452,I,Sst-IRES-Cre
443,1.729965084,0.021509719,100.0,12.01506099,60.3490625,16.57026569,186.7186373,4.311803333,-76.37707583,-67.40625,23.1015634537,90.5078134537,I,Sst-IRES-Cre
444,1.717169846,0.017017835,90.0,25.43889021,53.67138889,18.63190092,169.0624986,2.092836667,-64.25889442,-62.8482170105,38.6205368042,101.468753815,I,Sst-IRES-Cre
446,1.710360936,0.004898738,100.0,10.90734387,34.15678571,29.27675948,182.5000017,4.47527,-71.70131622,-70.5875045776,29.2875019073,99.8750064849,I,Sst-IRES-Cre
450,1.685020763,0.021023601,40.0,19.72809139,45.41238095,22.02042657,271.0937623,2.171396667,-81.6471064,-66.0000030518,37.8062515259,103.806254578,I,Sst-IRES-Cre
452,1.672161965,0.003739888,130.0,7.676425758,17.10140351,58.47473276,190.1340049,6.67404,-73.65225315,-63.8906281789,4.76562523842,68.6562534173,I,Pvalb-IRES-Cre
453,1.663913212,0.003120463,130.0,12.19565813,30.75883333,32.510986,181.87496,5.280111667,-79.63598595,-70.1770858765,0.427083333333,70.6041692098,I,Sst-IRES-Cre
454,1.662837624,0.009442349,29.99999809,49.32442041,29.1130303,34.34888054,491.8749948,0.748758333,-58.39002081,-58.1937507629,16.1000001907,74.2937509536,I,Sst-IRES-Cre
455,1.660508046,0.014115375,70.0,22.97265094,34.30071429,29.15391183,249.3303571,2.813941667,-65.52198855,-59.9375,10.8984382153,70.8359382153,I,Sst-IRES-Cre
456,1.658066134,0.053509382,50.0,31.21365432,40.15928571,24.90084129,460.4912077,2.077376667,-72.70538839,-59.4000022888,23.91875,83.3187522888,I,Sst-IRES-Cre
457,1.651906629,0.192964373,70.0,36.50640324,20.51,48.75670405,324.2187881,2.113683333,-71.40045929,-59.9921913147,35.7265644073,95.718755722,I,Sst-IRES-Cre
458,1.651281835,0.002046224,160.0,5.990295913,17.25105263,57.96747719,101.5624969,7.257256667,-78.39362176,-69.0859375,32.1250023842,101.210939884,I,Pvalb-IRES-Cre
459,1.648523531,0.023906885,20.0,25.7498701,29.8609375,33.48856679,337.9464395,1.222313333,-69.22408833,-62.015627861,25.3750014305,87.3906292915,I,Sst-IRES-Cre
460,1.63398125,0.012247585,60.00000381,17.28360688,39.13104167,25.55515921,232.1875023,3.723925,-71.75403232,-62.8645865122,20.5208336512,83.3854201634,I,Sst-IRES-Cre
461,1.631053819,0.00397438,220.0,8.027276845,14.25272727,70.16201046,119.843673,7.268163333,-73.69269928,-67.015625,25.6171884537,92.6328134537,I,Pvalb-IRES-Cre
462,1.63044046,0.011334297,70.0,16.68054787,25.54197368,39.15124228,230.6249643,3.34532,-72.43832397,-56.8062538147,40.5625030518,97.3687568665,I,Sst-IRES-Cre
463,1.629861521,0.094254928,50.0,27.8671261,59.6,16.77852349,238.2814413,1.937236667,-71.18420766,-57.6718769073,27.3437509537,85.015627861,I,Htr3a-Cre_NO152
466,1.612966694,0.004485655,310.0,4.812190482,12.8574026,77.77620654,103.2813634,12.11565667,-77.55399895,-69.6979192098,15.28125,84.9791692098,I,Pvalb-IRES-Cre
468,1.598512456,0.18409586,90.0,13.35920566,78.59666667,12.72318589,203.9062479,5.216263333,-75.63566322,-64.109375,25.2187509537,89.3281259537,I,Sst-IRES-Cre
469,1.595662582,0.027712971,20.0,36.00357307,37.0846,26.96537107,430.4688601,1.026533333,-65.17337799,-60.8593759537,33.5390625,94.3984384537,I,Gad2-IRES-Cre
471,1.588035163,0.022820739,110.0,18.60734313,53.43235294,18.71525293,179.6874254,4.784338333,-69.33047381,-63.3500022888,21.8125003815,85.1625026703,I,Sst-IRES-Cre
472,1.581994855,0.014371544,70.0,22.71703978,52.58416667,19.01713127,244.3750787,2.588805,-72.79583883,-59.3187515259,23.0000015259,82.3187530518,I,Sst-IRES-Cre
473,1.570999538,0.004693859,90.0,13.99075402,38.72,25.82644628,187.6562069,3.84386,-79.20363668,-63.0187507629,24.2500007629,87.2687515258,I,Sst-IRES-Cre
474,1.567376446,0.047977887,90.0,16.75518009,50.63138889,19.75059389,188.7499257,3.096406667,-76.12650264,-63.2395865122,28.0208349228,91.260421435,I,Sst-IRES-Cre
475,1.562184206,0.002559904,150.0,8.358102742,18.28216981,54.6981026,149.0625396,6.496358333,-73.00823822,-65.1927134196,27.052084287,92.2447977066,I,Pvalb-IRES-Cre
477,1.560664855,0.055229448,30.00000191,29.83095725,65.19964286,15.33750733,392.4999278,1.588846667,-63.31834612,-53.8562530518,7.51250047684,61.3687535286,I,Htr3a-Cre_NO152
478,1.55732838,0.002756874,249.9999847,4.921929228,12.57403846,79.52894395,103.90625,10.04955333,-72.37338902,-66.7109394073,17.6562514305,84.3671908378,E,Nr5a1-Cre
